l_s,l_2,l_1,s_2,s_1,w_s,w_2,w_1,freq,S11_dB,S21_dB
6.0,7.0,7.0,0.15,0.15,0.6,1.0,0.8,1.200 GHz,-1.383,-5.675
6.0,7.0,7.0,0.15,0.15,0.6,1.0,0.8,1.300 GHz,-1.598,-5.148
6.0,7.0,7.0,0.15,0.15,0.6,1.0,0.8,1.400 GHz,-1.827,-4.671
6.0,7.0,7.0,0.15,0.15,0.6,1.0,0.8,1.500 GHz,-2.073,-4.237
6.0,7.0,7.0,0.15,0.15,0.6,1.0,0.8,1.600 GHz,-2.337,-3.837
6.0,7.0,7.0,0.15,0.15,0.6,1.0,0.8,1.700 GHz,-2.62,-3.468
6.0,7.0,7.0,0.15,0.15,0.6,1.0,0.8,1.800 GHz,-2.925,-3.126
6.0,7.0,7.0,0.15,0.15,0.6,1.0,0.8,1.900 GHz,-3.254,-2.808
6.0,7.0,7.0,0.15,0.15,0.6,1.0,0.8,2.000 GHz,-3.61,-2.511
6.0,7.0,7.0,0.15,0.15,0.6,1.0,0.8,2.100 GHz,-3.996,-2.235
6.0,7.0,7.0,0.15,0.15,0.6,1.0,0.8,2.200 GHz,-4.415,-1.979
6.0,7.0,7.0,0.15,0.15,0.6,1.0,0.8,2.300 GHz,-4.869,-1.741
6.0,7.0,7.0,0.15,0.15,0.6,1.0,0.8,2.400 GHz,-5.361,-1.523
6.0,7.0,7.0,0.15,0.15,0.6,1.0,0.8,2.500 GHz,-5.893,-1.323
6.0,7.0,7.0,0.15,0.15,0.6,1.0,0.8,2.600 GHz,-6.465,-1.141
6.0,7.0,7.0,0.15,0.15,0.6,1.0,0.8,2.700 GHz,-7.077,-0.979
6.0,7.0,7.0,0.15,0.15,0.6,1.0,0.8,2.800 GHz,-7.725,-0.836
6.0,7.0,7.0,0.15,0.15,0.6,1.0,0.8,2.900 GHz,-8.405,-0.711
6.0,7.0,7.0,0.15,0.15,0.6,1.0,0.8,3.000 GHz,-9.105,-0.605
6.0,7.0,7.0,0.15,0.15,0.6,1.0,0.8,3.100 GHz,-9.81,-0.517
6.0,7.0,7.0,0.15,0.15,0.6,1.0,0.8,3.200 GHz,-10.499,-0.445
6.0,7.0,7.0,0.15,0.15,0.6,1.0,0.8,3.300 GHz,-11.147,-0.389
